R,G,B,RGB,Closest Color,Closest RGB,Distance,Original Words,New Words
0,0,0,"(0, 0, 0)",black,"(0, 0, 0)",0.0,"paleoatavistic, undertreated, obeyable, scale, order, swabble","scale of measurement, graduated table, ordered series, scale leaf, scurf, order of magnitude, ordering, ordination, orderliness, decree"
0,0,50,"(0, 0, 50)",black,"(0, 0, 0)",50.0,"paleoatavistic, undertreated, obeyable, scale, order, swabble","scale of measurement, graduated table, ordered series, scale leaf, scurf, order of magnitude, ordering, ordination, orderliness, decree"
0,0,100,"(0, 0, 100)",black,"(0, 0, 0)",100.0,"paleoatavistic, undertreated, obeyable, scale, order, swabble","scale of measurement, graduated table, ordered series, scale leaf, scurf, order of magnitude, ordering, ordination, orderliness, decree"
0,0,150,"(0, 0, 150)",blue,"(0, 0, 255)",105.0,"intelligent, collect, perfect, photopathy, glean, daintily","well-informed, healthy, levelheaded, level-headed, sound, roll up, accumulate, pile up, amass, compile"
0,0,200,"(0, 0, 200)",blue,"(0, 0, 255)",55.0,"intelligent, collect, perfect, photopathy, glean, daintily","well-informed, healthy, levelheaded, level-headed, sound, roll up, accumulate, pile up, amass, compile"
0,0,250,"(0, 0, 250)",blue,"(0, 0, 255)",5.0,"intelligent, collect, perfect, photopathy, glean, daintily","well-informed, healthy, levelheaded, level-headed, sound, roll up, accumulate, pile up, amass, compile"
0,50,0,"(0, 50, 0)",black,"(0, 0, 0)",50.0,"paleoatavistic, undertreated, obeyable, scale, order, swabble","scale of measurement, graduated table, ordered series, scale leaf, scurf, order of magnitude, ordering, ordination, orderliness, decree"
0,50,50,"(0, 50, 50)",black,"(0, 0, 0)",70.7,"paleoatavistic, undertreated, obeyable, scale, order, swabble","scale of measurement, graduated table, ordered series, scale leaf, scurf, order of magnitude, ordering, ordination, orderliness, decree"
0,50,100,"(0, 50, 100)",black,"(0, 0, 0)",111.8,"paleoatavistic, undertreated, obeyable, scale, order, swabble","scale of measurement, graduated table, ordered series, scale leaf, scurf, order of magnitude, ordering, ordination, orderliness, decree"
0,50,150,"(0, 50, 150)",blue,"(0, 0, 255)",116.3,"intelligent, collect, perfect, photopathy, glean, daintily","well-informed, healthy, levelheaded, level-headed, sound, roll up, accumulate, pile up, amass, compile"
0,50,200,"(0, 50, 200)",blue,"(0, 0, 255)",74.3,"intelligent, collect, perfect, photopathy, glean, daintily","well-informed, healthy, levelheaded, level-headed, sound, roll up, accumulate, pile up, amass, compile"
0,50,250,"(0, 50, 250)",blue,"(0, 0, 255)",50.2,"intelligent, collect, perfect, photopathy, glean, daintily","well-informed, healthy, levelheaded, level-headed, sound, roll up, accumulate, pile up, amass, compile"
0,100,0,"(0, 100, 0)",black,"(0, 0, 0)",100.0,"paleoatavistic, undertreated, obeyable, scale, order, swabble","scale of measurement, graduated table, ordered series, scale leaf, scurf, order of magnitude, ordering, ordination, orderliness, decree"
0,100,50,"(0, 100, 50)",black,"(0, 0, 0)",111.8,"paleoatavistic, undertreated, obeyable, scale, order, swabble","scale of measurement, graduated table, ordered series, scale leaf, scurf, order of magnitude, ordering, ordination, orderliness, decree"
0,100,100,"(0, 100, 100)",black,"(0, 0, 0)",141.4,"paleoatavistic, undertreated, obeyable, scale, order, swabble","scale of measurement, graduated table, ordered series, scale leaf, scurf, order of magnitude, ordering, ordination, orderliness, decree"
0,100,150,"(0, 100, 150)",blue,"(0, 0, 255)",145.0,"intelligent, collect, perfect, photopathy, glean, daintily","well-informed, healthy, levelheaded, level-headed, sound, roll up, accumulate, pile up, amass, compile"
0,100,200,"(0, 100, 200)",blue,"(0, 0, 255)",114.1,"intelligent, collect, perfect, photopathy, glean, daintily","well-informed, healthy, levelheaded, level-headed, sound, roll up, accumulate, pile up, amass, compile"
0,100,250,"(0, 100, 250)",blue,"(0, 0, 255)",100.1,"intelligent, collect, perfect, photopathy, glean, daintily","well-informed, healthy, levelheaded, level-headed, sound, roll up, accumulate, pile up, amass, compile"
0,150,0,"(0, 150, 0)",green,"(0, 255, 0)",105.0,"grow, bulbous, heroic, spontaneous, transition","turn, mature, maturate, originate, arise, bulblike, bulb-shaped, bellied, bellying, bulging"
0,150,50,"(0, 150, 50)",green,"(0, 255, 0)",116.3,"grow, bulbous, heroic, spontaneous, transition","turn, mature, maturate, originate, arise, bulblike, bulb-shaped, bellied, bellying, bulging"
0,150,100,"(0, 150, 100)",green,"(0, 255, 0)",145.0,"grow, bulbous, heroic, spontaneous, transition","turn, mature, maturate, originate, arise, bulblike, bulb-shaped, bellied, bellying, bulging"
0,150,150,"(0, 150, 150)",grey,"(170, 170, 170)",172.3,"lose, respectful, apposite, effective, precary, cover","misplace, mislay, turn a loss, fall back, drop off, reverential, venerating, apt, pertinent, effectual"
0,150,200,"(0, 150, 200)",blue,"(0, 0, 255)",159.8,"intelligent, collect, perfect, photopathy, glean, daintily","well-informed, healthy, levelheaded, level-headed, sound, roll up, accumulate, pile up, amass, compile"
0,150,250,"(0, 150, 250)",blue,"(0, 0, 255)",150.1,"intelligent, collect, perfect, photopathy, glean, daintily","well-informed, healthy, levelheaded, level-headed, sound, roll up, accumulate, pile up, amass, compile"
0,200,0,"(0, 200, 0)",green,"(0, 255, 0)",55.0,"grow, bulbous, heroic, spontaneous, transition","turn, mature, maturate, originate, arise, bulblike, bulb-shaped, bellied, bellying, bulging"
0,200,50,"(0, 200, 50)",green,"(0, 255, 0)",74.3,"grow, bulbous, heroic, spontaneous, transition","turn, mature, maturate, originate, arise, bulblike, bulb-shaped, bellied, bellying, bulging"
0,200,100,"(0, 200, 100)",green,"(0, 255, 0)",114.1,"grow, bulbous, heroic, spontaneous, transition","turn, mature, maturate, originate, arise, bulblike, bulb-shaped, bellied, bellying, bulging"
0,200,150,"(0, 200, 150)",green,"(0, 255, 0)",159.8,"grow, bulbous, heroic, spontaneous, transition","turn, mature, maturate, originate, arise, bulblike, bulb-shaped, bellied, bellying, bulging"
0,200,200,"(0, 200, 200)",grey,"(170, 170, 170)",175.2,"lose, respectful, apposite, effective, precary, cover","misplace, mislay, turn a loss, fall back, drop off, reverential, venerating, apt, pertinent, effectual"
0,200,250,"(0, 200, 250)",grey,"(170, 170, 170)",190.3,"lose, respectful, apposite, effective, precary, cover","misplace, mislay, turn a loss, fall back, drop off, reverential, venerating, apt, pertinent, effectual"
0,250,0,"(0, 250, 0)",green,"(0, 255, 0)",5.0,"grow, bulbous, heroic, spontaneous, transition","turn, mature, maturate, originate, arise, bulblike, bulb-shaped, bellied, bellying, bulging"
0,250,50,"(0, 250, 50)",green,"(0, 255, 0)",50.2,"grow, bulbous, heroic, spontaneous, transition","turn, mature, maturate, originate, arise, bulblike, bulb-shaped, bellied, bellying, bulging"
0,250,100,"(0, 250, 100)",green,"(0, 255, 0)",100.1,"grow, bulbous, heroic, spontaneous, transition","turn, mature, maturate, originate, arise, bulblike, bulb-shaped, bellied, bellying, bulging"
0,250,150,"(0, 250, 150)",green,"(0, 255, 0)",150.1,"grow, bulbous, heroic, spontaneous, transition","turn, mature, maturate, originate, arise, bulblike, bulb-shaped, bellied, bellying, bulging"
0,250,200,"(0, 250, 200)",grey,"(170, 170, 170)",190.3,"lose, respectful, apposite, effective, precary, cover","misplace, mislay, turn a loss, fall back, drop off, reverential, venerating, apt, pertinent, effectual"
0,250,250,"(0, 250, 250)",grey,"(170, 170, 170)",204.2,"lose, respectful, apposite, effective, precary, cover","misplace, mislay, turn a loss, fall back, drop off, reverential, venerating, apt, pertinent, effectual"
50,0,0,"(50, 0, 0)",black,"(0, 0, 0)",50.0,"paleoatavistic, undertreated, obeyable, scale, order, swabble","scale of measurement, graduated table, ordered series, scale leaf, scurf, order of magnitude, ordering, ordination, orderliness, decree"
50,0,50,"(50, 0, 50)",black,"(0, 0, 0)",70.7,"paleoatavistic, undertreated, obeyable, scale, order, swabble","scale of measurement, graduated table, ordered series, scale leaf, scurf, order of magnitude, ordering, ordination, orderliness, decree"
50,0,100,"(50, 0, 100)",black,"(0, 0, 0)",111.8,"paleoatavistic, undertreated, obeyable, scale, order, swabble","scale of measurement, graduated table, ordered series, scale leaf, scurf, order of magnitude, ordering, ordination, orderliness, decree"
50,0,150,"(50, 0, 150)",blue,"(0, 0, 255)",116.3,"intelligent, collect, perfect, photopathy, glean, daintily","well-informed, healthy, levelheaded, level-headed, sound, roll up, accumulate, pile up, amass, compile"
50,0,200,"(50, 0, 200)",blue,"(0, 0, 255)",74.3,"intelligent, collect, perfect, photopathy, glean, daintily","well-informed, healthy, levelheaded, level-headed, sound, roll up, accumulate, pile up, amass, compile"
50,0,250,"(50, 0, 250)",blue,"(0, 0, 255)",50.2,"intelligent, collect, perfect, photopathy, glean, daintily","well-informed, healthy, levelheaded, level-headed, sound, roll up, accumulate, pile up, amass, compile"
50,50,0,"(50, 50, 0)",black,"(0, 0, 0)",70.7,"paleoatavistic, undertreated, obeyable, scale, order, swabble","scale of measurement, graduated table, ordered series, scale leaf, scurf, order of magnitude, ordering, ordination, orderliness, decree"
50,50,50,"(50, 50, 50)",black,"(0, 0, 0)",86.6,"paleoatavistic, undertreated, obeyable, scale, order, swabble","scale of measurement, graduated table, ordered series, scale leaf, scurf, order of magnitude, ordering, ordination, orderliness, decree"
50,50,100,"(50, 50, 100)",black,"(0, 0, 0)",122.5,"paleoatavistic, undertreated, obeyable, scale, order, swabble","scale of measurement, graduated table, ordered series, scale leaf, scurf, order of magnitude, ordering, ordination, orderliness, decree"
50,50,150,"(50, 50, 150)",blue,"(0, 0, 255)",126.6,"intelligent, collect, perfect, photopathy, glean, daintily","well-informed, healthy, levelheaded, level-headed, sound, roll up, accumulate, pile up, amass, compile"
50,50,200,"(50, 50, 200)",blue,"(0, 0, 255)",89.6,"intelligent, collect, perfect, photopathy, glean, daintily","well-informed, healthy, levelheaded, level-headed, sound, roll up, accumulate, pile up, amass, compile"
50,50,250,"(50, 50, 250)",blue,"(0, 0, 255)",70.9,"intelligent, collect, perfect, photopathy, glean, daintily","well-informed, healthy, levelheaded, level-headed, sound, roll up, accumulate, pile up, amass, compile"
50,100,0,"(50, 100, 0)",black,"(0, 0, 0)",111.8,"paleoatavistic, undertreated, obeyable, scale, order, swabble","scale of measurement, graduated table, ordered series, scale leaf, scurf, order of magnitude, ordering, ordination, orderliness, decree"
50,100,50,"(50, 100, 50)",black,"(0, 0, 0)",122.5,"paleoatavistic, undertreated, obeyable, scale, order, swabble","scale of measurement, graduated table, ordered series, scale leaf, scurf, order of magnitude, ordering, ordination, orderliness, decree"
50,100,100,"(50, 100, 100)",black,"(0, 0, 0)",150.0,"paleoatavistic, undertreated, obeyable, scale, order, swabble","scale of measurement, graduated table, ordered series, scale leaf, scurf, order of magnitude, ordering, ordination, orderliness, decree"
50,100,150,"(50, 100, 150)",grey,"(170, 170, 170)",140.4,"lose, respectful, apposite, effective, precary, cover","misplace, mislay, turn a loss, fall back, drop off, reverential, venerating, apt, pertinent, effectual"
50,100,200,"(50, 100, 200)",blue,"(0, 0, 255)",124.6,"intelligent, collect, perfect, photopathy, glean, daintily","well-informed, healthy, levelheaded, level-headed, sound, roll up, accumulate, pile up, amass, compile"
50,100,250,"(50, 100, 250)",blue,"(0, 0, 255)",111.9,"intelligent, collect, perfect, photopathy, glean, daintily","well-informed, healthy, levelheaded, level-headed, sound, roll up, accumulate, pile up, amass, compile"
50,150,0,"(50, 150, 0)",green,"(0, 255, 0)",116.3,"grow, bulbous, heroic, spontaneous, transition","turn, mature, maturate, originate, arise, bulblike, bulb-shaped, bellied, bellying, bulging"
50,150,50,"(50, 150, 50)",green,"(0, 255, 0)",126.6,"grow, bulbous, heroic, spontaneous, transition","turn, mature, maturate, originate, arise, bulblike, bulb-shaped, bellied, bellying, bulging"
50,150,100,"(50, 150, 100)",grey,"(170, 170, 170)",140.4,"lose, respectful, apposite, effective, precary, cover","misplace, mislay, turn a loss, fall back, drop off, reverential, venerating, apt, pertinent, effectual"
50,150,150,"(50, 150, 150)",grey,"(170, 170, 170)",123.3,"lose, respectful, apposite, effective, precary, cover","misplace, mislay, turn a loss, fall back, drop off, reverential, venerating, apt, pertinent, effectual"
50,150,200,"(50, 150, 200)",grey,"(170, 170, 170)",125.3,"lose, respectful, apposite, effective, precary, cover","misplace, mislay, turn a loss, fall back, drop off, reverential, venerating, apt, pertinent, effectual"
50,150,250,"(50, 150, 250)",grey,"(170, 170, 170)",145.6,"lose, respectful, apposite, effective, precary, cover","misplace, mislay, turn a loss, fall back, drop off, reverential, venerating, apt, pertinent, effectual"
50,200,0,"(50, 200, 0)",green,"(0, 255, 0)",74.3,"grow, bulbous, heroic, spontaneous, transition","turn, mature, maturate, originate, arise, bulblike, bulb-shaped, bellied, bellying, bulging"
50,200,50,"(50, 200, 50)",green,"(0, 255, 0)",89.6,"grow, bulbous, heroic, spontaneous, transition","turn, mature, maturate, originate, arise, bulblike, bulb-shaped, bellied, bellying, bulging"
50,200,100,"(50, 200, 100)",green,"(0, 255, 0)",124.6,"grow, bulbous, heroic, spontaneous, transition","turn, mature, maturate, originate, arise, bulblike, bulb-shaped, bellied, bellying, bulging"
50,200,150,"(50, 200, 150)",grey,"(170, 170, 170)",125.3,"lose, respectful, apposite, effective, precary, cover","misplace, mislay, turn a loss, fall back, drop off, reverential, venerating, apt, pertinent, effectual"
50,200,200,"(50, 200, 200)",grey,"(170, 170, 170)",127.3,"lose, respectful, apposite, effective, precary, cover","misplace, mislay, turn a loss, fall back, drop off, reverential, venerating, apt, pertinent, effectual"
50,200,250,"(50, 200, 250)",grey,"(170, 170, 170)",147.3,"lose, respectful, apposite, effective, precary, cover","misplace, mislay, turn a loss, fall back, drop off, reverential, venerating, apt, pertinent, effectual"
50,250,0,"(50, 250, 0)",green,"(0, 255, 0)",50.2,"grow, bulbous, heroic, spontaneous, transition","turn, mature, maturate, originate, arise, bulblike, bulb-shaped, bellied, bellying, bulging"
50,250,50,"(50, 250, 50)",green,"(0, 255, 0)",70.9,"grow, bulbous, heroic, spontaneous, transition","turn, mature, maturate, originate, arise, bulblike, bulb-shaped, bellied, bellying, bulging"
50,250,100,"(50, 250, 100)",green,"(0, 255, 0)",111.9,"grow, bulbous, heroic, spontaneous, transition","turn, mature, maturate, originate, arise, bulblike, bulb-shaped, bellied, bellying, bulging"
50,250,150,"(50, 250, 150)",grey,"(170, 170, 170)",145.6,"lose, respectful, apposite, effective, precary, cover","misplace, mislay, turn a loss, fall back, drop off, reverential, venerating, apt, pertinent, effectual"
50,250,200,"(50, 250, 200)",grey,"(170, 170, 170)",147.3,"lose, respectful, apposite, effective, precary, cover","misplace, mislay, turn a loss, fall back, drop off, reverential, venerating, apt, pertinent, effectual"
50,250,250,"(50, 250, 250)",grey,"(170, 170, 170)",164.9,"lose, respectful, apposite, effective, precary, cover","misplace, mislay, turn a loss, fall back, drop off, reverential, venerating, apt, pertinent, effectual"
100,0,0,"(100, 0, 0)",brown,"(180, 50, 0)",94.3,"and, shrink, abundantly, learn, notable, unique, submissive","psychiatrist, head-shrinker, shrivel, shrivel up, wither, copiously, profusely, extravagantly, larn, acquire"
100,0,50,"(100, 0, 50)",brown,"(180, 50, 0)",106.8,"and, shrink, abundantly, learn, notable, unique, submissive","psychiatrist, head-shrinker, shrivel, shrivel up, wither, copiously, profusely, extravagantly, larn, acquire"
100,0,100,"(100, 0, 100)",brown,"(180, 50, 0)",137.5,"and, shrink, abundantly, learn, notable, unique, submissive","psychiatrist, head-shrinker, shrivel, shrivel up, wither, copiously, profusely, extravagantly, larn, acquire"
100,0,150,"(100, 0, 150)",purple,"(180, 50, 255)",141.2,"imaginative, great, gifted, perfectly, free, cheer, brave","inventive, outstanding, bang-up, bully, corking, cracking, endow, indue, gift, empower"
100,0,200,"(100, 0, 200)",purple,"(180, 50, 255)",109.2,"imaginative, great, gifted, perfectly, free, cheer, brave","inventive, outstanding, bang-up, bully, corking, cracking, endow, indue, gift, empower"
100,0,250,"(100, 0, 250)",purple,"(180, 50, 255)",94.5,"imaginative, great, gifted, perfectly, free, cheer, brave","inventive, outstanding, bang-up, bully, corking, cracking, endow, indue, gift, empower"
100,50,0,"(100, 50, 0)",brown,"(180, 50, 0)",80.0,"and, shrink, abundantly, learn, notable, unique, submissive","psychiatrist, head-shrinker, shrivel, shrivel up, wither, copiously, profusely, extravagantly, larn, acquire"
100,50,50,"(100, 50, 50)",brown,"(180, 50, 0)",94.3,"and, shrink, abundantly, learn, notable, unique, submissive","psychiatrist, head-shrinker, shrivel, shrivel up, wither, copiously, profusely, extravagantly, larn, acquire"
100,50,100,"(100, 50, 100)",brown,"(180, 50, 0)",128.1,"and, shrink, abundantly, learn, notable, unique, submissive","psychiatrist, head-shrinker, shrivel, shrivel up, wither, copiously, profusely, extravagantly, larn, acquire"
100,50,150,"(100, 50, 150)",purple,"(180, 50, 255)",132.0,"imaginative, great, gifted, perfectly, free, cheer, brave","inventive, outstanding, bang-up, bully, corking, cracking, endow, indue, gift, empower"
100,50,200,"(100, 50, 200)",purple,"(180, 50, 255)",97.1,"imaginative, great, gifted, perfectly, free, cheer, brave","inventive, outstanding, bang-up, bully, corking, cracking, endow, indue, gift, empower"
100,50,250,"(100, 50, 250)",purple,"(180, 50, 255)",80.2,"imaginative, great, gifted, perfectly, free, cheer, brave","inventive, outstanding, bang-up, bully, corking, cracking, endow, indue, gift, empower"
100,100,0,"(100, 100, 0)",brown,"(180, 50, 0)",94.3,"and, shrink, abundantly, learn, notable, unique, submissive","psychiatrist, head-shrinker, shrivel, shrivel up, wither, copiously, profusely, extravagantly, larn, acquire"
100,100,50,"(100, 100, 50)",brown,"(180, 50, 0)",106.8,"and, shrink, abundantly, learn, notable, unique, submissive","psychiatrist, head-shrinker, shrivel, shrivel up, wither, copiously, profusely, extravagantly, larn, acquire"
100,100,100,"(100, 100, 100)",grey,"(170, 170, 170)",121.2,"lose, respectful, apposite, effective, precary, cover","misplace, mislay, turn a loss, fall back, drop off, reverential, venerating, apt, pertinent, effectual"
100,100,150,"(100, 100, 150)",grey,"(170, 170, 170)",101.0,"lose, respectful, apposite, effective, precary, cover","misplace, mislay, turn a loss, fall back, drop off, reverential, venerating, apt, pertinent, effectual"
100,100,200,"(100, 100, 200)",grey,"(170, 170, 170)",103.4,"lose, respectful, apposite, effective, precary, cover","misplace, mislay, turn a loss, fall back, drop off, reverential, venerating, apt, pertinent, effectual"
100,100,250,"(100, 100, 250)",purple,"(180, 50, 255)",94.5,"imaginative, great, gifted, perfectly, free, cheer, brave","inventive, outstanding, bang-up, bully, corking, cracking, endow, indue, gift, empower"
100,150,0,"(100, 150, 0)",brown,"(180, 50, 0)",128.1,"and, shrink, abundantly, learn, notable, unique, submissive","psychiatrist, head-shrinker, shrivel, shrivel up, wither, copiously, profusely, extravagantly, larn, acquire"
100,150,50,"(100, 150, 50)",brown,"(180, 50, 0)",137.5,"and, shrink, abundantly, learn, notable, unique, submissive","psychiatrist, head-shrinker, shrivel, shrivel up, wither, copiously, profusely, extravagantly, larn, acquire"
100,150,100,"(100, 150, 100)",grey,"(170, 170, 170)",101.0,"lose, respectful, apposite, effective, precary, cover","misplace, mislay, turn a loss, fall back, drop off, reverential, venerating, apt, pertinent, effectual"
100,150,150,"(100, 150, 150)",grey,"(170, 170, 170)",75.5,"lose, respectful, apposite, effective, precary, cover","misplace, mislay, turn a loss, fall back, drop off, reverential, venerating, apt, pertinent, effectual"
100,150,200,"(100, 150, 200)",grey,"(170, 170, 170)",78.7,"lose, respectful, apposite, effective, precary, cover","misplace, mislay, turn a loss, fall back, drop off, reverential, venerating, apt, pertinent, effectual"
100,150,250,"(100, 150, 250)",grey,"(170, 170, 170)",108.2,"lose, respectful, apposite, effective, precary, cover","misplace, mislay, turn a loss, fall back, drop off, reverential, venerating, apt, pertinent, effectual"
100,200,0,"(100, 200, 0)",green,"(0, 255, 0)",114.1,"grow, bulbous, heroic, spontaneous, transition","turn, mature, maturate, originate, arise, bulblike, bulb-shaped, bellied, bellying, bulging"
100,200,50,"(100, 200, 50)",green,"(0, 255, 0)",124.6,"grow, bulbous, heroic, spontaneous, transition","turn, mature, maturate, originate, arise, bulblike, bulb-shaped, bellied, bellying, bulging"
100,200,100,"(100, 200, 100)",grey,"(170, 170, 170)",103.4,"lose, respectful, apposite, effective, precary, cover","misplace, mislay, turn a loss, fall back, drop off, reverential, venerating, apt, pertinent, effectual"
100,200,150,"(100, 200, 150)",grey,"(170, 170, 170)",78.7,"lose, respectful, apposite, effective, precary, cover","misplace, mislay, turn a loss, fall back, drop off, reverential, venerating, apt, pertinent, effectual"
100,200,200,"(100, 200, 200)",grey,"(170, 170, 170)",81.9,"lose, respectful, apposite, effective, precary, cover","misplace, mislay, turn a loss, fall back, drop off, reverential, venerating, apt, pertinent, effectual"
100,200,250,"(100, 200, 250)",grey,"(170, 170, 170)",110.5,"lose, respectful, apposite, effective, precary, cover","misplace, mislay, turn a loss, fall back, drop off, reverential, venerating, apt, pertinent, effectual"
100,250,0,"(100, 250, 0)",green,"(0, 255, 0)",100.1,"grow, bulbous, heroic, spontaneous, transition","turn, mature, maturate, originate, arise, bulblike, bulb-shaped, bellied, bellying, bulging"
100,250,50,"(100, 250, 50)",green,"(0, 255, 0)",111.9,"grow, bulbous, heroic, spontaneous, transition","turn, mature, maturate, originate, arise, bulblike, bulb-shaped, bellied, bellying, bulging"
100,250,100,"(100, 250, 100)",grey,"(170, 170, 170)",127.3,"lose, respectful, apposite, effective, precary, cover","misplace, mislay, turn a loss, fall back, drop off, reverential, venerating, apt, pertinent, effectual"
100,250,150,"(100, 250, 150)",grey,"(170, 170, 170)",108.2,"lose, respectful, apposite, effective, precary, cover","misplace, mislay, turn a loss, fall back, drop off, reverential, venerating, apt, pertinent, effectual"
100,250,200,"(100, 250, 200)",grey,"(170, 170, 170)",110.5,"lose, respectful, apposite, effective, precary, cover","misplace, mislay, turn a loss, fall back, drop off, reverential, venerating, apt, pertinent, effectual"
